,Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Code Description
0,2020-08-01,00:21,Saturday,SHEPPARD-YONGE STATION,TUSC,0,0,W,SHP,6151,Operator Overspeeding
1,2020-08-01,00:57,Saturday,ST PATRICK STATION,SUDP,7,12,S,YU,5901,Disorderly Patron
2,2020-08-01,01:17,Saturday,YORK MILLS STATION (LE,TUSC,0,0,S,YU,5666,Operator Overspeeding
3,2020-08-01,01:40,Saturday,ST GEORGE BD STATION,MUPAA,0,0,W,BD,5082,Passenger Assistance Alarm Activated - No Trouble Found
4,2020-08-01,01:41,Saturday,FINCH STATION,MUIR,0,0,S,YU,5903,Injured or ill Customer (On Train) - Medical Aid Refused
5,2020-08-01,05:41,Saturday,EGLINTON STATION,MUNOA,5,10,N,YU,0,No Operator Immediately Available - Not E.S.A. Related 
6,2020-08-01,05:46,Saturday,WILSON STATION,MUNOA,5,10,S,YU,0,No Operator Immediately Available - Not E.S.A. Related 
7,2020-08-01,05:49,Saturday,KEELE STATION,MUO,5,0,W,BD,5241,Miscellaneous Other
8,2020-08-01,05:50,Saturday,WOODBINE STATION,MUO,4,0,E,BD,5097,Miscellaneous Other
9,2020-08-01,06:00,Saturday,BLOOR-DANFORTH LINE,MUO,0,0,N/A,BD,0,Miscellaneous Other
10,2020-08-01,06:01,Saturday,VAUGHAN MC STATION,MUNOA,5,10,N/A,YU,0,No Operator Immediately Available - Not E.S.A. Related 
11,2020-08-01,06:20,Saturday,NORTH YORK CTR STATION,MUSC,0,0,S,YU,5731,Miscellaneous Speed Control
12,2020-08-01,06:43,Saturday,WARDEN STATION,MUI,27,33,W,BD,5244,Injured or ill Customer (On Train) - Transported
13,2020-08-01,07:09,Saturday,ST GEORGE YUS STATION,EUDO,10,15,S,YU,5556,Door Problems - Faulty Equipment
14,2020-08-01,08:11,Saturday,WOODBINE STATION,TUKEY,7,13,E,BD,5286,Two Drum Switch Keys Activated
15,2020-08-01,08:30,Saturday,YORK MILLS STATION,TUSC,0,0,N,YU,5876,Operator Overspeeding
16,2020-08-01,10:30,Saturday,SCARBOROUGH RAPID TRAN,MRWEA,0,0,B,SRT,0,Weather Reports / Related Delays
17,2020-08-01,10:37,Saturday,KIPLING STATION,MUNOA,6,12,E,BD,5067,No Operator Immediately Available - Not E.S.A. Related 
18,2020-08-01,10:57,Saturday,WOODBINE STATION,PUSSW,0,0,W,BD,5140,Track Switch Failure - Signal Related Problem
19,2020-08-01,11:25,Saturday,DUNDAS WEST STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported
20,2020-08-01,11:25,Saturday,EGLINTON STATION,MUNOA,4,8,N,YU,0,No Operator Immediately Available - Not E.S.A. Related 
21,2020-08-01,12:09,Saturday,DAVISVILLE STATION,PUSTS,0,0,N,YU,5716,Signals - Train Stops
