,Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Code Description,Type
0,2020-10-01,00:00,Thursday,MCCOWAN STATION,ERTC,6,12,S,SRT,3026,Train Control - VOBC,SRT RMENU CODE
1,2020-10-01,00:08,Thursday,LANSDOWNE STATION,EUNT,5,11,W,BD,5021,Equipment - No Trouble Found,SUB RMENU CODE
2,2020-10-01,07:44,Thursday,BAY STATION,SUDP,0,0,E,BD,5167,Disorderly Patron,SUB RMENU CODE
3,2020-10-01,09:01,Thursday,KENNEDY BD STATION,MUTO,3,6,W,BD,5167,Misc. Transportation Other - Employee Non-Chargeable,SUB RMENU CODE
4,2020-10-01,09:08,Thursday,LESLIE STATION,TUSC,0,0,W,SHP,6181,Operator Overspeeding,SUB RMENU CODE
5,2020-10-01,09:16,Thursday,BLOOR STATION,SUDP,3,6,S,YU,5846,Disorderly Patron,SUB RMENU CODE
6,2020-10-01,09:48,Thursday,BLOOR STATION,MUIS,0,0,S,YU,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
7,2020-10-01,10:16,Thursday,KEELE STATION,MUIS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
8,2020-10-01,11:18,Thursday,EGLINTON STATION,SUDP,3,6,N,YU,6016,Disorderly Patron,SUB RMENU CODE
9,2020-10-01,12:21,Thursday,MCCOWAN STATION,MRTO,7,14,N,SRT,3025,Timeout,SRT RMENU CODE
10,2020-10-01,13:53,Thursday,ISLINGTON STATION,MUIRS,0,0,N/A,BD,0,Injured or ill Customer (In Station) - Medical Aid Refused,SUB RMENU CODE
11,2020-10-01,14:07,Thursday,MCCOWAN STATION,ERNEA,6,13,N,SRT,3019,No Equipment Available,SRT RMENU CODE
12,2020-10-01,14:33,Thursday,COXWELL STATION,TUNIP,9,12,E,BD,5141,Operator Not In Position,SUB RMENU CODE
13,2020-10-01,15:05,Thursday,MCCOWAN STATION,ERNEA,5,10,S,SRT,0,No Equipment Available,SRT RMENU CODE
14,2020-10-01,15:37,Thursday,OLD MILL STATION,MUIR,0,0,E,BD,5159,Injured or ill Customer (On Train) - Medical Aid Refused,SUB RMENU CODE
15,2020-10-01,15:51,Thursday,BATHURST STATION,PUMEL,0,0,N/A,BD,0,Escalator/Elevator Incident,SUB RMENU CODE
16,2020-10-01,15:53,Thursday,DUNDAS STATION,MUPAA,0,0,S,YU,5916,Passenger Assistance Alarm Activated - No Trouble Found,SUB RMENU CODE
17,2020-10-01,16:07,Thursday,OLD MILL STATION,TUMVS,3,6,W,BD,5283,Operator Violated Signal,SUB RMENU CODE
18,2020-10-01,16:49,Thursday,DAVISVILLE STATION,MUIS,0,0,N,YU,0,Injured or ill Customer (In Station) - Transported,SUB RMENU CODE
19,2020-10-01,17:01,Thursday,QUEEN STATION,MUPR1,66,69,N,YU,6046,Priority One - Train in Contact With Person,SUB RMENU CODE
20,2020-10-01,17:22,Thursday,VAUGHAN MC STATION,TUNOA,3,6,S,YU,0,No Operator Immediately Available ,SUB RMENU CODE
21,2020-10-01,18:38,Thursday,DONLANDS STATION,SUDP,3,6,E,BD,5005,Disorderly Patron,SUB RMENU CODE
22,2020-10-01,18:55,Thursday,LANSDOWNE STATION,MUSAN,3,6,E,BD,5238,Unsanitary Vehicle,SUB RMENU CODE
23,2020-10-01,19:22,Thursday,FINCH STATION,EUSC,0,0,S,YU,5731,Speed Control Equipment  ,SUB RMENU CODE
24,2020-10-01,19:25,Thursday,KENNEDY BD STATION,PUSSW,6,12,W,BD,5257,Track Switch Failure - Signal Related Problem,SUB RMENU CODE
25,2020-10-01,19:26,Thursday,BROADVIEW STATION,MUIR,3,6,E,BD,5141,Injured or ill Customer (On Train) - Medical Aid Refused,SUB RMENU CODE
26,2020-10-01,19:54,Thursday,BLOOR STATION,SUDP,3,6,N,YU,5531,Disorderly Patron,SUB RMENU CODE
27,2020-10-01,19:56,Thursday,LAWRENCE STATION,SUDP,6,9,N,YU,5456,Disorderly Patron,SUB RMENU CODE
28,2020-10-01,20:23,Thursday,WARDEN STATION,MUPAA,3,6,N,YU,6136,Passenger Assistance Alarm Activated - No Trouble Found,SUB RMENU CODE
29,2020-10-01,20:29,Thursday,KENNEDY BD STATION,EUYRD,3,6,W,BD,5227,Yard/Carhouse Related Problems,SUB RMENU CODE
